brand,model,product,date,review
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Dec 16, 2023 8:29 PM","I purchased it for my MacBook M2 Chip Pro and I spent about $55 on this item around black Friday deals and I'm still shocked at how fast this little drives are.  1TB for $55 faster and more reliable than old internals as long as you are using a USB 3.2 port

Wow this SSD is extremely small and compact. Reads/writes extremely fast and is perfect for in any laptop bag."
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Feb 3, 2024 1:04 PM","Crucial makes really great RAM and ""SSD"" drives.  I purchased the 1 TB X6 external, which has performed to my expectations so far.  I'm running a 2019 4k iMac with a Thunderbolt 3, to which the new drive is connected.
Super fast , command shift, split second and your project is saved!  Im working with Blender 3-D and need to save often, this drive is on the mark! 
   Since there is plenty of space I'm using the drive as a work and backup drive.  My second backup drive transferred 160GB via USB 2 in one hour, which is not bad for USB 2 to Thundrbolt3. Also transferred the same data to the internal drive from the X6, and did it in 15 minutes, that's surprisingly fast! Most impressive!"
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Jan 12, 2023 3:27 PM","After getting a Series S recently and Gamepass I have been enjoying access to many games, but not enjoying the limited capacity of the console.  

After looking into various options I landed on this one.  It is a travel SSD drive and so can fit in the palm of your hand.  It works with Series S for storage of Xbox-One / X360 / Xbox games.  This took a bit of trial and error to get set up, as the cord and adapter to connect to the console need to be oriented a particular way and this is not at all obvious.  Basically, there are two dots that need to be face up, see the photo where they show up as light spots on the cord near the top/center of the pic.    

It also is not the best for Series S / X optimized games as they cannot be played on it.   However, despite those limitations I do feel like this purchase made my Series S setup much, much better and am quite happy with the performance so far."
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Jan 19, 2024 3:56 PM",Excellent for storing movies for my kids to watch while traveling and camping. The included USB A adapter was super handy for plugging into older devices.
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Oct 10, 2023 1:52 PM",Wow this ssd is extremely small and compact. Reads/writes extremely fast and is perfect for in any laptop bag.
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Jan 20, 2024 10:11 AM","Excellent quality, compact, and versatile. I love the material and weight. It performs exceptionally well, making it perfect for storing all my backup photos!"
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Mar 29, 2024 3:51 PM","This little SSD saved my whole music career AND my MacBook! Without it I’d be stuck with no storage and forced to delete things I genuinely can’t or shouldn’t delete! With the help of this portable and efficiently fast SSD, I brought my 512 GB MacBook SSD from 80GB back up to 230!"
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Sep 30, 2023 11:29 AM","This portable hard drive has proven to be fantastic. It accompanies me on the go effortlessly, and transferring over 100 gigabytes of data was a breeze. This compact companion has been a lifesaver in my daily tasks."
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"May 25, 2023 7:16 AM",Thisnlittle external drive is very small especially if you dont have alot of computer space. I used 3M double sided tape to secure mine to the top of the computer and its snug. Intrustiins are simple to follow when adding external drive to your computet and you dont have to be tech savy if your not that type of person.
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Apr 24, 2024 1:41 AM","I try to find out the exact features and quality I need to achieve my goals,this product does what it say it will do,I couldn’t ask for anything more."
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Jan 3, 2024 7:24 PM","Great, highly portable storage. It’s wild how small and fast storage has gotten."
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Sep 11, 2023 11:43 AM","So far has been reliable. Data transfer rate is fast. 
I have other external drives same as this, but older for at least 5 years. All still working."
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Oct 6, 2023 4:04 PM",Thanks! I enjoyed this Storage I genuinely love your products!! I would put emojis here but sadly it will not let me.
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Sep 22, 2023 3:20 PM","It has great storage, it’s easy to use, it’s nice and sleek so you can fit it anymore, I personally love it"
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Aug 14, 2023 10:34 PM",Its tiny and fast. Easy to use. Can use with Windows and Mac. Fits in a gift box.
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Aug 11, 2023 3:27 PM",The Crucial SSD is portable and very efficient to use. Great product.
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Nov 18, 2023 4:08 PM",It has given me 0 issues since I got it. Fast write speeds and clean look!
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"May 11, 2023 7:47 PM","Good SSD, really fast and did what I required it to do!"
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Jan 22, 2023 1:16 AM",I spent about $55 on this item around black friday and I'm sitll shocked at how fast this little drives are.  1TB for $55 faster and more reliable than old internals as long as you are using a usb 3.2 port
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Dec 15, 2022 5:50 PM","So far I cannot complain. Needed to move some files from my work computer due to an upgrade from a 2017 Macbook Air to a 2020 M1. This has fit the bill perfectly. The adapter is nice so that it fits your usb and usbc ports. Perfect size for my bookbag. Oh yeah, 1TB for $60!"
Crucial,CT1000X6SSD9SE,Crucial - X6 SE 1TB External USB-C/USB-A Portable SSD - Black,"Dec 16, 2023 8:29 PM","I purchased it for my MacBook M2 Chip Pro and I spent about $55 on this item around black Friday deals and I'm still shocked at how fast this little drives are.  1TB for $55 faster and more reliable than old internals as long as you are using a USB 3.2 port

Wow this SSD is extremely small and compact. Reads/writes extremely fast and is perfect for in any laptop bag."
