brand,model,product,date,review
Samsung,990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,Samsung - 990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,"Dec 22, 2023 7:02 PM","Only qualm i got is it didnt come with a screw to secure it, however the shipping was nice and quick, arrived in perfect condition, installation was quick and easy once i got the screw. Works perfectly and am very happy with the performance and xtra memory!!!"
Samsung,990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,Samsung - 990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,"Jan 26, 2024 5:05 PM","So far no issues to talk about, needed the memory for my new pc build,  I couldnt decide between the 2T and 4T but money ended up winning that battle. So next upgrade will be the 4T for sure. The read and write speeds are right on the money. Super quick highly recommend. Happy gaming!"
Samsung,990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,Samsung - 990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,"Mar 12, 2024 10:48 AM","Lightning fast, and very easy to ""DIY"" (do it yourself) to upgrade a laptop or desktop. 100% would recommend for gaming, or even a storage upgrade."
Samsung,990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,Samsung - 990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,"Jan 5, 2024 5:00 PM",Solid NVMe for the price. Has top tier speeds for a PCIe 4 M.2. I highly suggest it for a storage drive. If you want an NVMe for a partitioner e.g (windows). I would suggest a PCIe 5 since they reach 5 digit speeds.
Samsung,990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,Samsung - 990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,"Oct 13, 2023 8:50 PM","My laptop came with a 512GB drive, which was not enough for my needs.

I decided to purchase this 2TB model and it worked perfectly.

I've always had great success with Samsung products but this new 990 Pro 2TB model is an absolute dream.

Actually, this is my 1st m.2 NVMe drive and I've never been more satisfied.  It's extremely easy to install but it's the FASTEST drive I've ever purchased.  I've read that it's 15x faster than standard SSD 2.5"" drives.  I believe it!  I go from a code boot to a full desktop being presented in under 8 seconds.  

Extremely nice!  Highly recommended!

I'm sure you'll enjoy yours as much as I have!

Your friend in Virginia"
Samsung,990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,Samsung - 990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,"Sep 22, 2023 3:57 PM","Used this for my Acer nitro 5 AN515-57-75, really gave the system the extra boost I needed for superior quality performance! Highly recommend, just make sure your motherboard is pcn 5/mkv4.0 MK2.0 slotted"
Samsung,990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,Samsung - 990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,"Sep 14, 2023 12:00 AM","Going from a hard drive to this is life changeing my pc boots in under 1 minute now.

great amount of space.
 easy to install just click and screw in !"
Samsung,990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,Samsung - 990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,"Mar 8, 2024 10:28 PM","Best bang for your money! Bought another one for my new rig, so know a total of 4TB. This one is mainly for my gaming stuff, separate from the OS SSD. Samsung 990 Pro is the way."
Samsung,990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,Samsung - 990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,"Sep 9, 2023 9:53 PM",Super fast! Paired this bad boy with some ddr5 ram running at 6000MHz and my PC is blazin fast. I love the 990 pro.
Samsung,990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,Samsung - 990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,"Feb 2, 2024 4:15 PM","very good SSD, ease to fix and suitable with Lenovo P14S Gen 2, it generate heat so I added thermal pads at the top and bottom, and it working very good so far."
