brand,model,product,date,review
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Dec 30, 2023 2:16 PM","The capacity, size, and performance are impressive for this price, but the build quality leaves something to be desired. I've been able to connect it and transfer files reliably to a Windows PC and Galaxy S9 phone, and while the transfer rate wasn't as fast as advertised on the PC, it's because the PC only has slower, first-generation USB 3.0 ports so I'd expect faster performance on a more modern PC. The entire outer housing of the drive is made of plastic, and while it's flexible rather than brittle, since the USB-A connector is also made of this plastic (the USB-C connector is metal), I've been handling it gently. I would not want to leave this tumbling around loosely in a bag or drawer where something heavier might crush it, and I'm being extra careful when inserting or removing it with USB-A ports. I'd have given this 5 stars if not for the plastic USB-A connector."
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Apr 19, 2024 5:40 PM","Nice, I am always looking for something cost-effective and with the space I need. This fit the bill!
I needed storage for my son's memorial service videos and hyms."
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Sep 22, 2023 11:51 AM","High quality and at least at Best Buy, is half the price of Amazon without the risk of getting a fake drive from a sketchy Amazon reseller"
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Mar 25, 2024 4:33 PM","Gotta love it. You can use it to save files, videos, and photos from android devices or apple devices. You can also keep it on a keychain. I love it."
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Mar 19, 2024 11:46 AM","Very spacious and convenient for my laptop, phone, tablet, and other desktop computers."
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Feb 26, 2024 2:43 PM",Great for transfer photos and stuff from computer to phone or vice versa
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Feb 24, 2024 12:46 AM",Works great can use on ur phone or a USB I highly recommend
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"May 10, 2023 7:56 PM",Great flash drive. Plenty of storage to back up my computer.
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Jun 3, 2023 3:34 PM","Having both USB-C and USB-A plugs on one small drive is fantastic. I use it with an iPad Pro and it's plenty fast for everything, even video editing. The incredibly small size makes it super portable. Really, this drive is pretty much perfect."
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Sep 8, 2023 7:40 PM","Very sleek, nice, and portable usb. I love how each day they get more on the go with much more gigabytes."
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Jun 16, 2023 11:04 PM",This SanDisk is very good and very helpful. I was introduced to this  product by an employee name Eduarado and since i have been using it i have no regret.
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Jun 11, 2023 7:10 PM","To be honest I have not used this thumb drive yet but have it as a backup, I have a handful of these drives and they have all been great so far."
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Dec 13, 2022 7:14 PM","Easy to use - great product, real go to and big size 256GB"
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Aug 24, 2023 11:04 PM","Nice design and easy to carry this pendrive, best for Android and macbook,,"
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Aug 5, 2023 6:25 PM","Great yet simple to use...set app process was a breeze, may keep these handy!"
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"May 20, 2023 3:31 AM",Dual connect USB A and USB C flash drive very useful for transferring files between PC/laptop and smartphone.
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"May 28, 2023 3:28 PM",This little tool comes in handy more often than not!
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Apr 12, 2024 8:57 PM",Great device for storage and gb is ok the picture quality is ok.
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"May 12, 2023 3:50 PM",Very good works great fast high quality lives on my keys and not break very good
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"May 7, 2023 3:14 PM",Good value. Build quality is alright. Would recommend
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Dec 30, 2023 2:16 PM","The capacity, size, and performance are impressive for this price, but the build quality leaves something to be desired. I've been able to connect it and transfer files reliably to a Windows PC and Galaxy S9 phone, and while the transfer rate wasn't as fast as advertised on the PC, it's because the PC only has slower, first-generation USB 3.0 ports so I'd expect faster performance on a more modern PC. The entire outer housing of the drive is made of plastic, and while it's flexible rather than brittle, since the USB-A connector is also made of this plastic (the USB-C connector is metal), I've been handling it gently. I would not want to leave this tumbling around loosely in a bag or drawer where something heavier might crush it, and I'm being extra careful when inserting or removing it with USB-A ports. I'd have given this 5 stars if not for the plastic USB-A connector."
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Apr 19, 2024 5:40 PM","Nice, I am always looking for something cost-effective and with the space I need. This fit the bill!
I needed storage for my son's memorial service videos and hyms."
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Sep 22, 2023 11:51 AM","High quality and at least at Best Buy, is half the price of Amazon without the risk of getting a fake drive from a sketchy Amazon reseller"
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Mar 25, 2024 4:33 PM","Gotta love it. You can use it to save files, videos, and photos from android devices or apple devices. You can also keep it on a keychain. I love it."
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Mar 19, 2024 11:46 AM","Very spacious and convenient for my laptop, phone, tablet, and other desktop computers."
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Feb 26, 2024 2:43 PM",Great for transfer photos and stuff from computer to phone or vice versa
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Feb 24, 2024 12:46 AM",Works great can use on ur phone or a USB I highly recommend
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"May 10, 2023 7:56 PM",Great flash drive. Plenty of storage to back up my computer.
SanDisk,SDDDC3-256G-A46,SanDisk - Ultra Dual Drive Go 256GB USB Type-A/USB Type-C Flash Drive - Black,"Jun 3, 2023 3:34 PM","Having both USB-C and USB-A plugs on one small drive is fantastic. I use it with an iPad Pro and it's plenty fast for everything, even video editing. The incredibly small size makes it super portable. Really, this drive is pretty much perfect."
