brand,model,product,date,review
WD,Easystore 5TB External USB 3.0 Portable Hard Drive - Black,WD - Easystore 5TB External USB 3.0 Portable Hard Drive - Black,"Sep 24, 2023 4:54 PM","I recently purchased the Western Digital 5TB Portable Hard Disk. WD 5TB Easystore delivers ample space, fast transfers, and solid durability, making it an ideal portable hard drive. Great for backing up your PC storage files, videos, pictures, videos and other documents. Good product especially for the price!!!"
WD,Easystore 5TB External USB 3.0 Portable Hard Drive - Black,WD - Easystore 5TB External USB 3.0 Portable Hard Drive - Black,"Dec 11, 2020 8:22 PM","Love it. More than enough storage and very fast. Can not even think of any cons about it.

Nothing but all pros.  
Perfect.  

I have had yhe blue WD drive for better than 13 years. And it still works perfectly. I'M I BIG FAN OF WESTERN DIGITAL."
WD,Easystore 5TB External USB 3.0 Portable Hard Drive - Black,WD - Easystore 5TB External USB 3.0 Portable Hard Drive - Black,"Nov 17, 2023 10:48 PM","I had a previous Easystore though it was smaller size. The hardware is good. Always has been. I wanted a second one just for heavy data like photos and such media. This is a great little hard drive, I have zero complaints.I own many portable drives. This is nor one of the better ones.  I like the product and it still lives up to it's name. Cheers All."
WD,Easystore 5TB External USB 3.0 Portable Hard Drive - Black,WD - Easystore 5TB External USB 3.0 Portable Hard Drive - Black,"Jul 21, 2023 7:53 PM","This a amazing store data,, very simple.. just  five gb en little cube"
WD,Easystore 5TB External USB 3.0 Portable Hard Drive - Black,WD - Easystore 5TB External USB 3.0 Portable Hard Drive - Black,"Jan 6, 2024 1:06 AM",Great plug and play external hard drive. Portable and easy to use. Compatible with PC and MacBook. Most of all the price is RIGHT.
WD,Easystore 5TB External USB 3.0 Portable Hard Drive - Black,WD - Easystore 5TB External USB 3.0 Portable Hard Drive - Black,"Dec 29, 2023 4:18 PM","Yep it is an external USB HD. Speed is great. 
I have used it almost every day for a year now and have had no issues."
WD,Easystore 5TB External USB 3.0 Portable Hard Drive - Black,WD - Easystore 5TB External USB 3.0 Portable Hard Drive - Black,"Aug 11, 2023 9:47 PM",I have same one 3 i bought. No worry about my computer space. I can put all my photos and documents still have a lots extra space. It is so wonderful.  Convincing to carry anywhere.
WD,Easystore 5TB External USB 3.0 Portable Hard Drive - Black,WD - Easystore 5TB External USB 3.0 Portable Hard Drive - Black,"Jan 5, 2024 8:13 PM",Nice amount of storage for fair price. Simple essy to use nothing extra required.
WD,Easystore 5TB External USB 3.0 Portable Hard Drive - Black,WD - Easystore 5TB External USB 3.0 Portable Hard Drive - Black,"Dec 29, 2023 4:48 PM",Great drive and easy installation. Also conveniently sized. Does not take up much room.
WD,Easystore 5TB External USB 3.0 Portable Hard Drive - Black,WD - Easystore 5TB External USB 3.0 Portable Hard Drive - Black,"Dec 18, 2020 11:02 PM","Portable, affordable and reliable solution for backing up my MacBook Pro using Time Machine. So far so good, no complains."
WD,Easystore 5TB External USB 3.0 Portable Hard Drive - Black,WD - Easystore 5TB External USB 3.0 Portable Hard Drive - Black,"Dec 1, 2020 3:41 AM","This drive is great.
Backed-up my old laptop, my PC, and the old backup drive I was using.
This is definitely faster than the old drive.
Although I'll mostly be using it at home, the small size makes it easy to pack in a laptop bag."
WD,Easystore 5TB External USB 3.0 Portable Hard Drive - Black,WD - Easystore 5TB External USB 3.0 Portable Hard Drive - Black,"May 27, 2023 5:45 AM",Bought a second one of these drives. They pretty much nailed it. Using on a mac for large storage needs that an SSD would simply be too either expensive or unavailable. Setup was nearly instant and no issues with either drive. Thx Best Buy!
WD,Easystore 5TB External USB 3.0 Portable Hard Drive - Black,WD - Easystore 5TB External USB 3.0 Portable Hard Drive - Black,"Apr 26, 2024 3:53 PM",Love my 5TB external hard drive. I put movies on here for my viewing pleasure and it works just fine.
